VirusGENBANKaccession,Virus GENBANK accession,Virus name(s),Host source,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
AB110977,AB110977,Helicobasidium mompa mitovirus 1-18,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus hemo1
MK079847,MK079847,Hymenoscyphus fraxineus [albidus] mitovirus 1,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus hyal1
KJ667051,KJ667051,Hymenoscyphus fraxineus mitovirus 1,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus hyfr1
MG659316,MG659316,Leptosphaeria biglobosa mitovirus 1,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus lebi1
MH823902,MH823902,Nigrospora oryzae mitovirus 2,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus nior2
AJ132754,AJ132754,ophiostoma mitovirus 4,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus opno4
AJ132755,AJ132755,ophiostoma mitovirus 5,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus opno5
AJ132756,AJ132756,ophiostoma mitovirus 6,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus opno6
MK033478,MK033478,Puccinia striiformis mitovirus 1,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus pust1
KT365895,KT365895,Sclerotinia nivalis mitovirus 1,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus scni1
JQ013377,JQ013377,Sclerotinia sclerotiorum mitovirus 1,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus scsc1
JQ013378,JQ013378,Sclerotinia sclerotiorum mitovirus 2,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus scsc2
JX401538,JX401538,Sclerotinia sclerotiorum mitovirus 4,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus scsc4
KJ462514,KJ462514,Sclerotinia sclerotiorum mitovirus 7,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus scsc7
AY563138,AY563138,Thielaviopsis basicola mitovirus,fungi,Riboviria,,Orthornavirae,,Lenarviricota,,Howeltoviricetes,,Cryppavirales,,Mitoviridae,,Unuamitovirus,,Unuamitovirus thba1
MZ679574,MZ679574,MAG: Leviviridae sp. isolate 179-k141_18680 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aastrivirus,,Aastrivirus faecicola
BK013373,BK013373,ssRNA phage ESE018,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aldormivirus,,Aldormivirus defluviicola
BK013629,BK013629,ssRNA phage SRR5466364_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aldormivirus,,Aldormivirus luticola
BK014151,BK014151,ssRNA phage SRR6960549_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aldormivirus,,Aldormivirus lutihabitans
BK013764,BK013764,ssRNA phage SRR7976357_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aldormivirus,,Aldormivirus lutivivens
BK014214,BK014214,ssRNA phage SRR7976357_2,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aldormivirus,,Aldormivirus peladaptatum
BK013684,BK013684,ssRNA phage SRR6960509_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Aldormivirus,,Aldormivirus pelenecus
CASDWV010003375,CASDWV010003375,ssRNA_80816,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus asienecus
CASDWV010002739,CASDWV010002739,ssRNA_63794,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus edaphadaptatum
CASDWV010003276,CASDWV010003276,ssRNA_78387,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus edaphohabitans
CASDWV010004554,CASDWV010004554,ssRNA_122880,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus limicola
CASDWV010001053,CASDWV010001053,ssRNA_30053,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus pedocola
BK014093,BK014093,ssRNA phage SRR5466725_4,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus pelenecus
BK014156,BK014156,ssRNA phage SRR6960551_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus pelohabitans
BK014185,BK014185,ssRNA phage SRR7976310_2,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus pelovicinum
BK014002,BK014002,ssRNA phage Esthiorhiza.2_15,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus tellurivicinum
BK013564,BK013564,ssRNA phage Gerhypos.4_59,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus tellurivivens
BK013514,BK013514,ssRNA phage Zoerhiza.1_36,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus terradaptatum
BK013526,BK013526,ssRNA phage Zoerhiza.4_7,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alkesdovirus,,Alkesdovirus terricola
BK014203,BK014203,ssRNA phage SRR7976325_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Alvostovirus,,Alvostovirus lutivicinum
BK013421,BK013421,ssRNA phage Gephyllon.2_13,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Andhevirus,,Andhevirus chorohabitans
BK013498,BK013498,ssRNA phage Gerhypos.2_20,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Apihcavirus,,Apihcavirus arvenecus
BK014192,BK014192,ssRNA phage SRR7976325_2,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Apihcavirus,,Apihcavirus borborovicinum
CASDWV010004962,CASDWV010004962,ssRNA_136182,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Apihcavirus,,Apihcavirus limivivens
BK013761,BK013761,ssRNA phage SRR7976356_2,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Apihcavirus,,Apihcavirus neoborborovicinum
BK013713,BK013713,ssRNA phage SRR7976299_3,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Arihsbuvirus,,Arihsbuvirus caenadaptatum
MZ679638,MZ679638,MAG: Leviviridae sp. isolate 166-k141_270413 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Ashurnovirus,,Ashurnovirus faecivicinum
MZ679482,MZ679482,MAG: Leviviridae sp. isolate 238-k141_111698 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Ashurnovirus,,Ashurnovirus montisvicinum
MZ679532,MZ679532,MAG: Leviviridae sp. isolate 37-k141_139887 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Astuncavirus,,Astuncavirus faecenecus
MZ679585,MZ679585,MAG: Leviviridae sp. isolate 258-k141_20321 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Avantavirus,,Avantavirus faecihabitans
MZ679696,MZ679696,MAG: Leviviridae sp. isolate 359R-k141_373204 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahdevirus,,Bahdevirus faecivicinum
BK013631,BK013631,ssRNA phage SRR5466365_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahdevuvirus,,Bahdevuvirus caenivivens
BK014098,BK014098,ssRNA phage SRR5466725_3,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahdevuvirus,,Bahdevuvirus limadaptatum
MZ680334,MZ680334,MAG: Leviviridae sp. isolate 167-k141_331219 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahguvirus,,Bahguvirus faecadaptatum
MZ679528,MZ679528,MAG: Leviviridae sp. isolate 240b-k141_137670 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bahguvirus,,Bahguvirus montisvivens
MZ679702,MZ679702,MAG: Leviviridae sp. isolate 279-k141_382293 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Balsavirus,,Balsavirus faecadaptatum
CASDWV010002758,CASDWV010002758,ssRNA_65082,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Barchevirus,,Barchevirus humivicinum
OM514449,OM514449,Sanya atkins-like virus 1,plants (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Barchevirus,,Barchevirus pontederiivicinum
CASDWV010001328,CASDWV010001328,ssRNA_38360,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bardovirus,,Bardovirus agrivicinum
CASDWV010001267,CASDWV010001267,ssRNA_36681,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bartovirus,,Bartovirus arvadaptatum
CASDWV010001835,CASDWV010001835,ssRNA_45896,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bartovirus,,Bartovirus caenihabitans
CASDWV010002572,CASDWV010002572,ssRNA_60924,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bartovirus,,Bartovirus terradaptatum
CASDWV010004426,CASDWV010004426,ssRNA_119021,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bascudevirus,,Bascudevirus pedovicinum
MZ679619,MZ679619,MAG: Leviviridae sp. isolate 358R-k141_247135 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Batdovirus,,Batdovirus faecadaptatum
CASDWV010004239,CASDWV010004239,ssRNA_114241,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Beahrlevirus,,Beahrlevirus messadaptatum
CASDWV010004337,CASDWV010004337,ssRNA_117158,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Behauvirus,,Behauvirus agradaptatum
CASDWV010003245,CASDWV010003245,ssRNA_77667,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Beheusavirus,,Beheusavirus caenivicinum
CASDWV010000960,CASDWV010000960,ssRNA_27584,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Behntlevirus,,Behntlevirus humivicinum
CASDWV010004694,CASDWV010004694,ssRNA_127664,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Behrmuvirus,,Behrmuvirus caenadaptatum
CASDWV010000011,CASDWV010000011,ssRNA_64,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bercswevirus,,Bercswevirus edaphocola
CASDWV010001417,CASDWV010001417,ssRNA_39956,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bermivirus,,Bermivirus solicola
CASDWV010003847,CASDWV010003847,ssRNA_92208,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus caenenecus
CASDWV010000257,CASDWV010000257,ssRNA_5205,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus chorocola
CASDWV010000505,CASDWV010000505,ssRNA_10366,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus lutivivens
CASDWV010001384,CASDWV010001384,ssRNA_39116,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus messenecus
CASDWV010000950,CASDWV010000950,ssRNA_27272,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus messivivens
CASDWV010001454,CASDWV010001454,ssRNA_40483,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus pelohabitans
CASDWV010002593,CASDWV010002593,ssRNA_61648,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus segetenecus
CASDWV010004709,CASDWV010004709,ssRNA_128371,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus telluricola
CASDWV010004043,CASDWV010004043,ssRNA_99213,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus terradaptatum
CASDWV010000563,CASDWV010000563,ssRNA_14535,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bexdevirus,,Bexdevirus terrihabitans
CASDWV010004591,CASDWV010004591,ssRNA_124121,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bidwuvirus,,Bidwuvirus asiohabitans
CASDWV010001176,CASDWV010001176,ssRNA_34278,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bihdfovirus,,Bihdfovirus chthonadaptatum
CASDWV010003399,CASDWV010003399,ssRNA_81449,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bihdfovirus,,Bihdfovirus segetenecus
CASDWV010001840,CASDWV010001840,ssRNA_45997,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bihshovirus,,Bihshovirus messivivens
CASDWV010004856,CASDWV010004856,ssRNA_132795,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bihshovirus,,Bihshovirus pelovivens
BK013375,BK013375,ssRNA phage ESE020,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bilifuvirus,,Bilifuvirus defluviicola
MZ679752,MZ679752,MAG: Leviviridae sp. isolate R29-k141_518306 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bilsavirus,,Bilsavirus allofaecicola
MZ679786,MZ679786,MAG: Leviviridae sp. isolate R29-k141_644397 genomic sequence,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bilsavirus,,Bilsavirus faecivicinum
CASDWV010004928,CASDWV010004928,ssRNA_135285,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Birdonovirus,,Birdonovirus segetenecus
OM514450,OM514450,Sanya atkins-like virus 2,plants (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Birfovirus,,Birfovirus dinebrivivens
ON164096,ON164096,"MAG: Leviviridae sp. isolate 29-k141_20837_2 maturation protein gene, partial cds; and coat protein and RNA dependent RNA polymerase genes, complete cds",soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Birstovirus,,Birstovirus limivivens
CASDWV010002838,CASDWV010002838,ssRNA_67552,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blictovirus,,Blictovirus humenecus
BK014110,BK014110,ssRNA phage SRR5466728_1,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus asiadaptatum
CASDWV010004615,CASDWV010004615,ssRNA_124521,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus asiocola
CASDWV010002387,CASDWV010002387,ssRNA_56173,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus caenivivens
CASDWV010004095,CASDWV010004095,ssRNA_101210,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus chorocola
CASDWV010001833,CASDWV010001833,ssRNA_45823,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus chorohabitans
CASDWV010001786,CASDWV010001786,ssRNA_45315,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus chorovivens
CASDWV010000323,CASDWV010000323,ssRNA_5962,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus chthonocola
CASDWV010000802,CASDWV010000802,ssRNA_23448,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus chthonovicinum
CASDWV010001531,CASDWV010001531,ssRNA_41840,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus geohabitans
CASDWV010000428,CASDWV010000428,ssRNA_9018,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus humicola
CASDWV010001462,CASDWV010001462,ssRNA_40528,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus lutivivens
CASDWV010004067,CASDWV010004067,ssRNA_100649,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus messivicinum
CASDWV010000001,CASDWV010000001,ssRNA_1,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus messivivens
CASDWV010003699,CASDWV010003699,ssRNA_88294,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus pelenecus
CASDWV010002665,CASDWV010002665,ssRNA_62473,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus pelohabitans
CASDWV010000493,CASDWV010000493,ssRNA_9705,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus radicivicinum
CASDWV010000194,CASDWV010000194,ssRNA_3777,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus segetenecus
CASDWV010003422,CASDWV010003422,ssRNA_82148,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus solenecus
CASDWV010003821,CASDWV010003821,ssRNA_91275,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus tellurihabitans
CASDWV010003971,CASDWV010003971,ssRNA_97003,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus tellurivivens
BK013562,BK013562,ssRNA phage Gerhypos.4_36,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Blinduvirus,,Blinduvirus terrihabitans
CASDWV010004643,CASDWV010004643,ssRNA_125534,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bolihivirus,,Bolihivirus asiadaptatum
CASDWV010000364,CASDWV010000364,ssRNA_6713,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bolihivirus,,Bolihivirus caenicola
CASDWV010004662,CASDWV010004662,ssRNA_126887,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bolihivirus,,Bolihivirus chorovivens
CASDWV010001636,CASDWV010001636,ssRNA_42993,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bolihivirus,,Bolihivirus geoadaptatum
CASDWV010004824,CASDWV010004824,ssRNA_131627,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bolislovirus,,Bolislovirus solivivens
CASDWV010002634,CASDWV010002634,ssRNA_61839,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Boltovirus,,Boltovirus pedohabitans
CASDWV010001879,CASDWV010001879,ssRNA_46562,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bouhrtavirus,,Bouhrtavirus agricola
CASDWV010000679,CASDWV010000679,ssRNA_20394,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Braholevirus,,Braholevirus asiovicinum
CASDWV010001469,CASDWV010001469,ssRNA_40591,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bramcovirus,,Bramcovirus asienecus
CASDWV010000839,CASDWV010000839,ssRNA_24373,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bramcovirus,,Bramcovirus caenivivens
CASDWV010000776,CASDWV010000776,ssRNA_23341,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bramkuvirus,,Bramkuvirus solicola
ON162890,ON162890,"MAG: Leviviridae sp. isolate 294-k141_14750_2 maturation protein, coat protein, and RNA dependent RNA polymerase genes, complete cds",soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Branavirus,,Branavirus faecadaptatum
CASDWV010001464,CASDWV010001464,ssRNA_40575,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Brandovirus,,Brandovirus pedocola
CASDWV010000886,CASDWV010000886,ssRNA_25899,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Brehdfovirus,,Brehdfovirus agrihabitans
CASDWV010000167,CASDWV010000167,ssRNA_3050,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Broetwevirus,,Broetwevirus geoadaptatum
BK013885,BK013885,ssRNA phage Gephyllon.1_9,bacteria,Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bruncluvirus,,Bruncluvirus chorohabitans
CASDWV010000749,CASDWV010000749,ssRNA_22700,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bruncluvirus,,Bruncluvirus humenecus
CASDWV010001996,CASDWV010001996,ssRNA_48684,soil (S),Riboviria,,Orthornavirae,,Lenarviricota,,Leviviricetes,,Norzivirales,,Atkinsviridae,,Bruncluvirus,,Bruncluvirus humivivens
